Data Size,Standard Deviation
4426.0,0.0
64968.0,0.0
48146.0,0.0
4380.0,0.0
9163.0,0.0
66615.0,0.0
17493.0,0.0
3654.0,0.0
4374.0,0.0
20400.0,0.00014649575221562783
5499.0,0.0001959051974107043
5466.0,0.0003469608937795309
5413.0,0.00013840198516845703
5521.0,0.00025479206770493703
5445.0,0.00023842492504913142
5470.0,0.00018327258187060948
5498.0,0.00022579319743640174
5484.0,0.00012917672631974447
5448.0,0.00019597924023223305
5497.0,0.00019063812756901934
5441.0,0.00024947137326120143
5588.0,0.0002052212175276454
5544.0,0.0002120227527375025
5435.0,8.941858710613394e-05
5562.0,0.00023962420292375174
5595.0,0.000291429417804271
5442.0,0.0002478345839120076
5547.0,0.0001875547565860755
5496.0,0.00017659876756352707
5485.0,0.00015939523263654623
5560.0,0.0002899854794422831
5572.0,0.00014990715493172754
5550.0,0.00024320649625892915
5510.0,0.00017538678056114478
5555.0,0.0003632339112001525
5529.0,0.00022317543752664544
5577.0,0.0002830761815143954
5606.0,0.00019558355928195721
5556.0,0.00017334555594256823
5570.0,0.00020350196134598836
5610.0,0.00019577899857460703
5524.0,0.00022419112012186053
5512.0,0.00021006851742053
5503.0,0.00018729450368607358
5534.0,0.00016140413534044821
5622.0,0.0002094174090864141
5602.0,0.0001666238673404242
5492.0,0.0002199409272934634
5605.0,0.0003309572354264589
5561.0,0.0001536032470611484
5443.0,0.0002164039904833068
5516.0,0.00013049486550005944
5568.0,0.00017601273946831736
5508.0,0.00013632528343529479
5479.0,0.0003243323116872967
5589.0,0.00027716146875750904
5611.0,0.00015444645497299326
5557.0,0.0001593755069130494
5540.0,0.0002163940262031007
5623.0,0.00023552126235917286
5579.0,0.00016319629656193639
5616.0,0.00012667497688161427
5536.0,0.00019422951643521417
5552.0,0.00017215983113301125
5600.0,0.0003872895594856358
5543.0,0.00016074766504760988
5537.0,0.00017595753736166785
5575.0,0.00024004152292126814
5615.0,0.00023455997839278643
5617.0,0.00015015370535017924
5531.0,0.00015911102075936612
5553.0,0.00013864215515741618
5574.0,0.0001817011063447655
