Metric,Data Size,Standard Deviation
encrypt_time,5523.0,1.108633574544985e-05
encrypt_time,5486.0,8.332550267927218e-06
encrypt_time,5530.0,7.936350928826784e-06
encrypt_time,5434.0,1.4187908832553033e-05
encrypt_time,5551.0,1.3178101630994263e-05
encrypt_time,5427.0,2.1416240004565336e-06
encrypt_time,5538.0,1.1608436060168495e-05
encrypt_time,5490.0,1.1861925995166939e-05
encrypt_time,5582.0,5.185193858532096e-06
encrypt_time,5513.0,1.2226618420403402e-05
encrypt_time,5506.0,1.315365293946308e-05
encrypt_time,5522.0,8.37799630242902e-06
encrypt_time,5631.0,3.2125128001225373e-06
encrypt_time,5573.0,1.2172032621052501e-05
encrypt_time,5586.0,2.4026042513913287e-06
encrypt_time,5596.0,3.0607370395106816e-06
encrypt_time,5462.0,9.04709250977754e-06
encrypt_time,5601.0,7.70560585581988e-06
encrypt_time,5597.0,6.1458825076729694e-06
encrypt_time,5621.0,8.401385912354352e-06
encrypt_time,5567.0,8.770501728737528e-05
encrypt_time,5563.0,8.623204040014236e-06
encrypt_time,5598.0,5.338859601545672e-06
encrypt_time,5565.0,5.647501561629777e-06
encrypt_time,5613.0,7.932789224997251e-06
encrypt_time,5520.0,8.953921465469614e-06
encrypt_time,5483.0,3.1341835484752677e-06
encrypt_time,5457.0,4.4766858001837104e-06
encrypt_time,5474.0,1.0990450006367464e-05
encrypt_time,5472.0,7.29022884174995e-06
encrypt_time,5620.0,3.1312792463469382e-06
encrypt_time,5585.0,1.3408454008934737e-05
encrypt_time,5439.0,0.0
encrypt_time,5458.0,3.7747516908766166e-06
encrypt_time,5509.0,7.956145670324481e-06
encrypt_time,5401.0,3.6954879760742188e-06
encrypt_time,5495.0,7.913127534932124e-06
encrypt_time,5451.0,2.1254347356663277e-06
encrypt_time,5461.0,7.362400208855274e-06
encrypt_time,5468.0,5.9588748083608935e-06
encrypt_time,5608.0,9.029267606019544e-06
encrypt_time,5592.0,3.7394492963214213e-06
encrypt_time,5628.0,6.243836191917319e-06
encrypt_time,5609.0,7.155735581323269e-06
encrypt_time,5415.0,5.960464477539062e-07
encrypt_time,5402.0,0.0
encrypt_time,5539.0,1.5754453190224926e-05
encrypt_time,5527.0,8.147279594262957e-06
encrypt_time,5659.0,0.0
encrypt_time,5671.0,9.7566522414742e-06
encrypt_time,5419.0,0.0
