Metric,Data Size,Standard Deviation
encapsulation_time,4426.0,0.0
encapsulation_time,64968.0,0.0
encapsulation_time,48146.0,0.0
encapsulation_time,4380.0,0.0
encapsulation_time,9163.0,0.0
encapsulation_time,66615.0,0.0
encapsulation_time,17493.0,0.0
encapsulation_time,3654.0,0.0
encapsulation_time,4374.0,0.0
encapsulation_time,20400.0,8.104673248279548e-07
encapsulation_time,5499.0,1.747096315839111e-05
encapsulation_time,5466.0,2.2656979164867542e-05
encapsulation_time,5413.0,5.960464477539062e-07
encapsulation_time,5521.0,1.964829062739768e-05
encapsulation_time,5445.0,1.4713506466949598e-05
encapsulation_time,5470.0,1.8525829326290458e-05
encapsulation_time,5498.0,1.0122810042643633e-05
encapsulation_time,5484.0,2.4744311026588574e-05
encapsulation_time,5448.0,8.93632792564249e-06
encapsulation_time,5497.0,1.7162923994838876e-05
encapsulation_time,5441.0,1.064007561602931e-05
encapsulation_time,5588.0,1.1467385647960496e-05
encapsulation_time,5544.0,1.978018012445023e-05
encapsulation_time,5435.0,2.5331779242371283e-06
encapsulation_time,5562.0,7.36344565593855e-06
encapsulation_time,5595.0,9.41074102210548e-06
encapsulation_time,5442.0,5.399623776155407e-06
encapsulation_time,5547.0,7.2858399344718075e-06
encapsulation_time,5496.0,6.7360210902813865e-06
encapsulation_time,5485.0,1.6892521817370255e-05
encapsulation_time,5560.0,2.041152683988047e-05
encapsulation_time,5572.0,1.0017127589485988e-05
encapsulation_time,5550.0,1.4182328413822776e-05
encapsulation_time,5510.0,7.570435184848357e-06
encapsulation_time,5555.0,7.757971879724428e-06
encapsulation_time,5529.0,8.178826893057683e-06
encapsulation_time,5577.0,1.8910867136639454e-05
encapsulation_time,5606.0,9.330659479198009e-06
encapsulation_time,5556.0,6.225317645888691e-06
encapsulation_time,5570.0,1.429231851550616e-05
encapsulation_time,5610.0,9.63892181218847e-06
encapsulation_time,5524.0,7.562459607125306e-06
encapsulation_time,5512.0,8.444038091791932e-06
encapsulation_time,5503.0,5.347171185494853e-06
encapsulation_time,5534.0,1.6591710152451473e-05
encapsulation_time,5622.0,6.119518146797912e-06
encapsulation_time,5602.0,9.888828367216891e-06
encapsulation_time,5492.0,7.240274118265533e-06
encapsulation_time,5605.0,7.515443747168445e-06
encapsulation_time,5561.0,1.3751296642619088e-05
encapsulation_time,5443.0,8.862759723619892e-06
encapsulation_time,5516.0,1.2943182150173642e-05
encapsulation_time,5568.0,1.1610327511115056e-05
encapsulation_time,5508.0,5.569318293498503e-06
encapsulation_time,5479.0,1.3214334356249455e-05
encapsulation_time,5589.0,1.877537783775875e-05
encapsulation_time,5611.0,4.970827258722383e-06
encapsulation_time,5557.0,8.996187305590297e-06
encapsulation_time,5540.0,9.45728366113569e-06
encapsulation_time,5623.0,6.832817478244997e-06
encapsulation_time,5579.0,3.439265478375512e-06
encapsulation_time,5616.0,1.0019018951804375e-05
encapsulation_time,5536.0,1.5644248076303425e-05
encapsulation_time,5552.0,1.3612418013161541e-05
encapsulation_time,5600.0,1.493195827037255e-05
