Iteration,Data Size (bytes),Encrypt Time (seconds),Sign Time (seconds),Verify Time (seconds),Decrypt Time (seconds),Total Time (seconds)
0,4426,0.0012409687042236328,0.00014972686767578125,0.00027251243591308594,0.00040650367736816406,0.0022842884063720703
1,64968,0.0012340545654296875,0.00046133995056152344,0.0004870891571044922,0.001232147216796875,0.003617525100708008
2,48146,0.0009369850158691406,0.000354766845703125,0.00037789344787597656,0.0009458065032958984,0.0027887821197509766
3,4380,0.0002872943878173828,7.557868957519531e-05,0.0001049041748046875,0.0003218650817871094,0.0009348392486572266
4,9163,0.0003387928009033203,0.0001010894775390625,0.00012540817260742188,0.00035953521728515625,0.0010657310485839844
5,66615,0.001171112060546875,0.0004706382751464844,0.0005228519439697266,0.0012362003326416016,0.0036640167236328125
6,17493,0.0005006790161132812,0.0001609325408935547,0.00018358230590820312,0.0005311965942382812,0.0015947818756103516
7,3654,0.00033545494079589844,8.606910705566406e-05,0.00011134147644042969,0.00031685829162597656,0.001073598861694336
8,4374,0.0002868175506591797,7.462501525878906e-05,9.989738464355469e-05,0.0003077983856201172,0.0009596347808837891
9,20400,0.0005261898040771484,0.00018024444580078125,0.00020194053649902344,0.0005445480346679688,0.0016891956329345703
10,20400,0.0005574226379394531,0.0001804828643798828,0.0002498626708984375,0.0007810592651367188,0.0020723342895507812
11,20400,0.0006275177001953125,0.0001881122589111328,0.00020432472229003906,0.0005290508270263672,0.0017991065979003906
12,5499,0.0002970695495605469,8.106231689453125e-05,0.00010466575622558594,0.00030612945556640625,0.0009512901306152344
13,5466,0.00027871131896972656,7.677078247070312e-05,0.00010204315185546875,0.0003249645233154297,0.0009484291076660156
14,5413,0.0003802776336669922,8.678436279296875e-05,0.00010347366333007812,0.00031828880310058594,0.0010907649993896484
15,5521,0.0003514289855957031,0.0001354217529296875,0.0001246929168701172,0.0003349781036376953,0.0012211799621582031
16,5445,0.00028824806213378906,7.82012939453125e-05,0.00010085105895996094,0.0003027915954589844,0.0009133815765380859
17,5470,0.00027680397033691406,7.414817810058594e-05,9.72747802734375e-05,0.0002970695495605469,0.0008802413940429688
18,5498,0.0003752708435058594,8.249282836914062e-05,0.00010657310485839844,0.00034880638122558594,0.0011324882507324219
19,5484,0.00030493736267089844,7.939338684082031e-05,0.00010704994201660156,0.00031876564025878906,0.0009980201721191406
20,5448,0.0002961158752441406,8.20159912109375e-05,0.00010752677917480469,0.0003204345703125,0.0010156631469726562
21,5497,0.00030803680419921875,8.082389831542969e-05,0.00012063980102539062,0.00036025047302246094,0.0011267662048339844
22,5441,0.0003192424774169922,8.58306884765625e-05,0.00010919570922851562,0.0004658699035644531,0.0013043880462646484
23,5497,0.00037026405334472656,8.559226989746094e-05,0.00011491775512695312,0.0003325939178466797,0.0011370182037353516
24,5588,0.0003795623779296875,0.00010013580322265625,0.00016188621520996094,0.0004391670227050781,0.0014088153839111328
25,5544,0.0003905296325683594,0.000110626220703125,0.00015997886657714844,0.0004458427429199219,0.0015575885772705078
26,5441,0.0007510185241699219,0.00011277198791503906,0.0001876354217529297,0.0004496574401855469,0.0019176006317138672
27,5435,0.0003459453582763672,9.059906005859375e-05,0.00010991096496582031,0.0003108978271484375,0.0010619163513183594
28,5445,0.0002834796905517578,7.891654968261719e-05,0.00010156631469726562,0.0003120899200439453,0.0009758472442626953
29,5562,0.00029158592224121094,7.677078247070312e-05,0.00010085105895996094,0.0003046989440917969,0.0009381771087646484
30,5595,0.0002849102020263672,7.534027099609375e-05,9.989738464355469e-05,0.0003018379211425781,0.0009222030639648438
31,5442,0.0002779960632324219,7.534027099609375e-05,9.822845458984375e-05,0.0002982616424560547,0.0009055137634277344
32,5470,0.00027561187744140625,7.462501525878906e-05,0.00010013580322265625,0.0002994537353515625,0.0009121894836425781
33,5547,0.0002777576446533203,7.414817810058594e-05,9.942054748535156e-05,0.0002989768981933594,0.0009009838104248047
34,5496,0.0002779960632324219,7.295608520507812e-05,9.870529174804688e-05,0.0002963542938232422,0.0008997917175292969
35,5485,0.000274658203125,7.295608520507812e-05,9.870529174804688e-05,0.00029659271240234375,0.00089263916015625
36,5560,0.0002894401550292969,8.225440979003906e-05,0.0001087188720703125,0.0003483295440673828,0.001041412353515625
37,5572,0.0003178119659423828,8.535385131835938e-05,0.00011038780212402344,0.0003733634948730469,0.0011315345764160156
38,5550,0.00034689903259277344,0.00014519691467285156,0.00011849403381347656,0.00039005279541015625,0.0013315677642822266
39,5510,0.00035309791564941406,9.489059448242188e-05,0.00012111663818359375,0.0003452301025390625,0.0011491775512695312
40,5550,0.0003178119659423828,9.822845458984375e-05,0.0001251697540283203,0.00041985511779785156,0.0012285709381103516
41,5555,0.00034165382385253906,0.0001518726348876953,0.0001251697540283203,0.00040221214294433594,0.0013833045959472656
42,5510,0.0004508495330810547,0.00012183189392089844,0.00012755393981933594,0.0003464221954345703,0.0013203620910644531
43,5529,0.0003063678741455078,8.463859558105469e-05,0.00010895729064941406,0.000324249267578125,0.0010280609130859375
44,5572,0.0003497600555419922,8.440017700195312e-05,0.00010895729064941406,0.0003180503845214844,0.0010523796081542969
45,5577,0.0002989768981933594,8.296966552734375e-05,0.00010228157043457031,0.0003199577331542969,0.0010006427764892578
46,5606,0.000705718994140625,8.726119995117188e-05,0.00011420249938964844,0.000339508056640625,0.0014739036560058594
47,5556,0.0003311634063720703,9.560585021972656e-05,0.00012445449829101562,0.0003933906555175781,0.0011844635009765625
48,5570,0.0004439353942871094,0.0001323223114013672,0.00023174285888671875,0.0005042552947998047,0.0017352104187011719
49,5610,0.0003075599670410156,8.702278137207031e-05,0.00010418891906738281,0.0003027915954589844,0.0009732246398925781
50,5610,0.00027871131896972656,7.796287536621094e-05,9.965896606445312e-05,0.0002994537353515625,0.0008945465087890625
51,5524,0.0002834796905517578,9.059906005859375e-05,0.00012612342834472656,0.00032973289489746094,0.0010342597961425781
52,5512,0.0002987384796142578,7.891654968261719e-05,0.00010061264038085938,0.0003132820129394531,0.0009472370147705078
53,5503,0.00029587745666503906,7.62939453125e-05,9.822845458984375e-05,0.00029754638671875,0.000911712646484375
54,5534,0.00028228759765625,7.534027099609375e-05,9.822845458984375e-05,0.0002980232238769531,0.0009071826934814453
55,5622,0.00031065940856933594,7.915496826171875e-05,0.00010848045349121094,0.00038504600524902344,0.0010917186737060547
56,5602,0.0003306865692138672,9.012222290039062e-05,0.0001347064971923828,0.00036144256591796875,0.0011408329010009766
57,5492,0.000308990478515625,8.106231689453125e-05,0.000102996826171875,0.00030159950256347656,0.0009486675262451172
58,5605,0.0002803802490234375,7.653236389160156e-05,9.942054748535156e-05,0.0002999305725097656,0.0008988380432128906
59,5561,0.00031065940856933594,7.891654968261719e-05,0.00010347366333007812,0.00030994415283203125,0.0009708404541015625
60,5443,0.0002865791320800781,8.153915405273438e-05,0.00012040138244628906,0.0003924369812011719,0.0011272430419921875
61,5516,0.0003027915954589844,8.535385131835938e-05,0.00010561943054199219,0.0003135204315185547,0.0009784698486328125
62,5556,0.0003986358642578125,0.00010633468627929688,0.0001068115234375,0.00030803680419921875,0.0011012554168701172
63,5568,0.0002944469451904297,8.845329284667969e-05,0.00012063980102539062,0.0003256797790527344,0.0010256767272949219
64,5544,0.0002951622009277344,7.867813110351562e-05,0.00010156631469726562,0.0003018379211425781,0.0009357929229736328
65,5508,0.00028061866760253906,8.893013000488281e-05,0.00011301040649414062,0.00035119056701660156,0.0010538101196289062
66,5479,0.00048732757568359375,0.0001621246337890625,0.0002129077911376953,0.0005779266357421875,0.0019638538360595703
67,5589,0.0004563331604003906,0.0001163482666015625,0.00012874603271484375,0.0004153251647949219,0.0014691352844238281
68,5562,0.0003750324249267578,9.72747802734375e-05,0.00011897087097167969,0.0003409385681152344,0.001196146011352539
69,5611,0.0003082752227783203,8.821487426757812e-05,0.00010991096496582031,0.00032830238342285156,0.0010447502136230469
70,5557,0.00037550926208496094,0.0001506805419921875,0.00021386146545410156,0.00036907196044921875,0.0016090869903564453
71,5540,0.00031185150146484375,8.559226989746094e-05,0.00011157989501953125,0.000385284423828125,0.0011334419250488281
72,5623,0.0004761219024658203,0.000118255615234375,0.00015282630920410156,0.00048065185546875,0.0016455650329589844
73,5579,0.0003497600555419922,9.012222290039062e-05,0.00011134147644042969,0.0003108978271484375,0.0010595321655273438
74,5616,0.0002739429473876953,7.772445678710938e-05,0.00010180473327636719,0.00030994415283203125,0.0009489059448242188
75,5579,0.0003616809844970703,8.893013000488281e-05,0.00010943412780761719,0.00036406517028808594,0.001134634017944336
76,5536,0.0002887248992919922,7.891654968261719e-05,0.0001087188720703125,0.00030231475830078125,0.0009546279907226562
77,5552,0.0002770423889160156,7.581710815429688e-05,0.00010061264038085938,0.00030040740966796875,0.0009319782257080078
78,5552,0.00030875205993652344,8.559226989746094e-05,0.00011324882507324219,0.00033545494079589844,0.00107574462890625
79,5600,0.0002884864807128906,7.939338684082031e-05,0.000102996826171875,0.0002968311309814453,0.0009429454803466797
80,5543,0.0002837181091308594,7.462501525878906e-05,0.00010037422180175781,0.0003020763397216797,0.0009217262268066406
81,5610,0.00027942657470703125,7.534027099609375e-05,9.894371032714844e-05,0.0002989768981933594,0.0009171962738037109
82,5600,0.00026988983154296875,7.390975952148438e-05,0.00010633468627929688,0.00030684471130371094,0.0009605884552001953
83,5537,0.0003993511199951172,0.00011801719665527344,0.0001456737518310547,0.00034499168395996094,0.0013613700866699219
84,5595,0.0003135204315185547,8.58306884765625e-05,0.00011110305786132812,0.0003376007080078125,0.0010623931884765625
85,5610,0.00033092498779296875,0.00012922286987304688,0.00011587142944335938,0.0003216266632080078,0.0011813640594482422
86,5575,0.0002894401550292969,7.796287536621094e-05,0.000102996826171875,0.0003018379211425781,0.0009403228759765625
87,5572,0.0002758502960205078,7.534027099609375e-05,9.942054748535156e-05,0.00031304359436035156,0.0009357929229736328
88,5615,0.0003249645233154297,0.00010585784912109375,0.00011754035949707031,0.000362396240234375,0.0011372566223144531
89,5617,0.0003757476806640625,0.0001628398895263672,0.0002014636993408203,0.0006210803985595703,0.0018916130065917969
90,5555,0.0005788803100585938,0.00013756752014160156,0.00013685226440429688,0.0003695487976074219,0.0016317367553710938
91,5531,0.0003190040588378906,9.036064147949219e-05,0.0001125335693359375,0.0003285408020019531,0.0010859966278076172
92,5553,0.0003075599670410156,8.440017700195312e-05,0.00010919570922851562,0.00032329559326171875,0.0010387897491455078
93,5574,0.0003559589385986328,0.00011229515075683594,0.00016450881958007812,0.0006134510040283203,0.0016169548034667969
94,5615,0.0006415843963623047,0.00016498565673828125,0.0001251697540283203,0.00035881996154785156,0.0017199516296386719
95,5553,0.00031828880310058594,0.00010609626770019531,0.00017571449279785156,0.00041413307189941406,0.0013058185577392578
96,5533,0.0003123283386230469,8.320808410644531e-05,0.00010347366333007812,0.0003008842468261719,0.0009522438049316406
97,5619,0.00028133392333984375,7.724761962890625e-05,9.822845458984375e-05,0.00034546852111816406,0.00098419189453125
98,5594,0.0003352165222167969,9.584426879882812e-05,0.00013208389282226562,0.00042700767517089844,0.001264810562133789
99,5591,0.00042176246643066406,0.00010704994201660156,0.00011849403381347656,0.0003457069396972656,0.001268148422241211
100,5583,0.0004668235778808594,9.632110595703125e-05,0.0001125335693359375,0.00032591819763183594,0.0012371540069580078
101,5588,0.00029778480529785156,8.368492126464844e-05,0.00010323524475097656,0.00030350685119628906,0.0009407997131347656
102,5602,0.0002777576446533203,7.462501525878906e-05,9.870529174804688e-05,0.0002944469451904297,0.0008754730224609375
103,5643,0.00032329559326171875,8.344650268554688e-05,0.00012373924255371094,0.00035953521728515625,0.0011005401611328125
104,5526,0.0003540515899658203,8.940696716308594e-05,0.00012111663818359375,0.00044155120849609375,0.001280069351196289
105,5581,0.0004582405090332031,0.00013256072998046875,0.0001811981201171875,0.0006177425384521484,0.0018634796142578125
106,5528,0.00038552284240722656,0.00010085105895996094,0.00011754035949707031,0.0003559589385986328,0.0012531280517578125
107,5529,0.00033020973205566406,8.559226989746094e-05,0.00010848045349121094,0.000308990478515625,0.0010340213775634766
108,5533,0.00028204917907714844,7.724761962890625e-05,0.00010061264038085938,0.00029921531677246094,0.0009341239929199219
109,5554,0.0002789497375488281,8.487701416015625e-05,0.00010204315185546875,0.0003113746643066406,0.0009624958038330078
110,5540,0.0003094673156738281,7.963180541992188e-05,0.00010204315185546875,0.0003075599670410156,0.000982046127319336
111,5487,0.0003352165222167969,8.296966552734375e-05,0.00010585784912109375,0.00034308433532714844,0.0010895729064941406
112,5584,0.0002923011779785156,7.867813110351562e-05,0.00011944770812988281,0.00031566619873046875,0.0010101795196533203
113,5501,0.0003020763397216797,8.320808410644531e-05,0.00010561943054199219,0.0003197193145751953,0.0010275840759277344
114,5477,0.0003006458282470703,8.20159912109375e-05,0.00010561943054199219,0.00032210350036621094,0.0010204315185546875
115,5507,0.00029754638671875,0.00015497207641601562,0.00013184547424316406,0.0005362033843994141,0.0017027854919433594
116,5519,0.000637054443359375,0.0001747608184814453,0.00014925003051757812,0.0004425048828125,0.0018913745880126953
117,5559,0.000415802001953125,0.00011920928955078125,0.00014328956604003906,0.0004315376281738281,0.0015075206756591797
118,5547,0.0004954338073730469,0.00011038780212402344,0.00011777877807617188,0.00033593177795410156,0.0013420581817626953
119,5595,0.0003025531768798828,8.130073547363281e-05,0.0001049041748046875,0.00030922889709472656,0.0009756088256835938
120,5505,0.00028204917907714844,7.534027099609375e-05,0.0001010894775390625,0.0003020763397216797,0.0009281635284423828
121,5488,0.00026917457580566406,7.319450378417969e-05,9.846687316894531e-05,0.00029158592224121094,0.0008981227874755859
122,5577,0.00029015541076660156,7.605552673339844e-05,0.00010180473327636719,0.00030112266540527344,0.0009391307830810547
123,5562,0.000278472900390625,7.486343383789062e-05,0.00011515617370605469,0.00030422210693359375,0.0009429454803466797
124,5616,0.00032258033752441406,0.00010275840759277344,0.00013446807861328125,0.0003273487091064453,0.0011408329010009766
125,5556,0.00030922889709472656,8.153915405273438e-05,0.00010418891906738281,0.000308990478515625,0.000985860824584961
126,5546,0.0003352165222167969,0.00010204315185546875,0.0001544952392578125,0.0004544258117675781,0.0014581680297851562
127,5545,0.000476837158203125,9.989738464355469e-05,0.00011539459228515625,0.00034618377685546875,0.001310586929321289
128,5554,0.00032210350036621094,0.00016880035400390625,0.00012826919555664062,0.00033783912658691406,0.0012884140014648438
129,5479,0.00029158592224121094,7.843971252441406e-05,0.00010156631469726562,0.00030422210693359375,0.0009527206420898438
130,5519,0.0002770423889160156,7.534027099609375e-05,0.00010013580322265625,0.0003139972686767578,0.0009558200836181641
131,5562,0.0003387928009033203,8.702278137207031e-05,0.00010895729064941406,0.00031113624572753906,0.0010557174682617188
132,5533,0.00029468536376953125,7.82012939453125e-05,0.00010204315185546875,0.0003006458282470703,0.0009450912475585938
133,5500,0.00027441978454589844,7.486343383789062e-05,9.870529174804688e-05,0.0003001689910888672,0.0009105205535888672
134,5508,0.000331878662109375,8.630752563476562e-05,0.00010466575622558594,0.00032639503479003906,0.0010612010955810547
135,5471,0.00034546852111816406,9.846687316894531e-05,0.00013303756713867188,0.00041413307189941406,0.0013766288757324219
136,5517,0.00043654441833496094,0.00012683868408203125,0.0001983642578125,0.0005300045013427734,0.0017867088317871094
137,5550,0.00044155120849609375,0.00011801719665527344,0.00016045570373535156,0.0004918575286865234,0.0016338825225830078
138,5532,0.000457763671875,0.00013899803161621094,0.0003581047058105469,0.00055694580078125,0.002077817916870117
139,5482,0.0003516674041748047,0.00010085105895996094,0.00011706352233886719,0.000331878662109375,0.001252889633178711
140,5590,0.0006096363067626953,9.1552734375e-05,0.00011491775512695312,0.0003483295440673828,0.0014994144439697266
141,5599,0.0003020763397216797,9.417533874511719e-05,0.00011444091796875,0.00031876564025878906,0.0010423660278320312
142,5548,0.0002868175506591797,7.748603820800781e-05,0.0001010894775390625,0.00030422210693359375,0.0009510517120361328
143,5587,0.0002791881561279297,7.510185241699219e-05,0.00010061264038085938,0.00029969215393066406,0.0009214878082275391
144,5549,0.0003819465637207031,8.845329284667969e-05,0.00011014938354492188,0.0003211498260498047,0.0011372566223144531
145,5564,0.0003299713134765625,8.0108642578125e-05,0.00011396408081054688,0.0003535747528076172,0.001092672348022461
146,5580,0.00036835670471191406,0.00010943412780761719,0.0001583099365234375,0.0004508495330810547,0.0015196800231933594
147,5610,0.00045609474182128906,0.00013113021850585938,0.000179290771484375,0.0007181167602539062,0.0019097328186035156
148,5503,0.00040912628173828125,0.00014662742614746094,0.0001404285430908203,0.0003604888916015625,0.0014421939849853516
149,5511,0.0003139972686767578,8.726119995117188e-05,0.00014925003051757812,0.0004076957702636719,0.0011982917785644531
150,5532,0.000301361083984375,8.130073547363281e-05,0.00010466575622558594,0.0003304481506347656,0.0010275840759277344
151,5594,0.00032401084899902344,8.463859558105469e-05,0.00010633468627929688,0.00030612945556640625,0.0010068416595458984
152,5534,0.0002791881561279297,7.748603820800781e-05,0.00010061264038085938,0.0002994537353515625,0.0009233951568603516
153,5524,0.00027680397033691406,7.653236389160156e-05,0.00010013580322265625,0.000301361083984375,0.0009312629699707031
154,5540,0.0003178119659423828,9.775161743164062e-05,0.0001201629638671875,0.0003299713134765625,0.0011034011840820312
155,5589,0.00029397010803222656,0.00011038780212402344,0.00012445449829101562,0.0003693103790283203,0.0011966228485107422
156,5558,0.0005211830139160156,0.00013327598571777344,0.00015497207641601562,0.00045180320739746094,0.0016963481903076172
157,5516,0.0005145072937011719,0.0001232624053955078,0.000148773193359375,0.00041937828063964844,0.0016012191772460938
158,5516,0.00037932395935058594,9.632110595703125e-05,0.00011610984802246094,0.0003349781036376953,0.0011653900146484375
159,5505,0.00031375885009765625,8.535385131835938e-05,0.00011515617370605469,0.0004444122314453125,0.0013155937194824219
160,5612,0.0004291534423828125,0.00011348724365234375,0.0001575946807861328,0.00047779083251953125,0.001669168472290039
161,5571,0.0005097389221191406,9.250640869140625e-05,0.00013446807861328125,0.0004832744598388672,0.0015017986297607422
162,5584,0.00030541419982910156,8.845329284667969e-05,0.0001289844512939453,0.000446319580078125,0.0012979507446289062
163,5606,0.0003802776336669922,9.083747863769531e-05,0.0001068115234375,0.00031185150146484375,0.001071929931640625
164,5626,0.0002884864807128906,8.106231689453125e-05,0.00010156631469726562,0.00030303001403808594,0.0009336471557617188
165,5635,0.00029206275939941406,7.796287536621094e-05,0.00010466575622558594,0.0003368854522705078,0.0009906291961669922
166,5604,0.0004074573516845703,0.00010633468627929688,0.00012230873107910156,0.000347137451171875,0.0012421607971191406
167,5466,0.00032711029052734375,8.296966552734375e-05,0.00010800361633300781,0.000308990478515625,0.0009975433349609375
168,5566,0.00029850006103515625,0.0001239776611328125,0.00013828277587890625,0.0004324913024902344,0.0012845993041992188
169,5535,0.00044083595275878906,0.00010967254638671875,0.00012969970703125,0.0003662109375,0.0013689994812011719
170,5607,0.0004439353942871094,8.368492126464844e-05,0.00010538101196289062,0.0003063678741455078,0.0011169910430908203
171,5540,0.0002818107604980469,7.843971252441406e-05,0.00010395050048828125,0.0003044605255126953,0.0009515285491943359
172,5603,0.0002779960632324219,7.462501525878906e-05,9.703636169433594e-05,0.00029659271240234375,0.0008838176727294922
173,5561,0.00032067298889160156,8.96453857421875e-05,0.00013256072998046875,0.0003497600555419922,0.0010974407196044922
174,5475,0.0002944469451904297,7.867813110351562e-05,9.965896606445312e-05,0.0003123283386230469,0.000949859619140625
