Metric,Data Size,Standard Deviation
encrypt_time,4426.0,0.0
encrypt_time,64968.0,0.0
encrypt_time,48146.0,0.0
encrypt_time,4380.0,0.0
encrypt_time,9163.0,0.0
encrypt_time,66615.0,0.0
encrypt_time,17493.0,0.0
encrypt_time,3654.0,0.0
encrypt_time,4374.0,0.0
encrypt_time,20400.0,4.2368948529497105e-05
encrypt_time,5499.0,9.15117707317222e-05
encrypt_time,5466.0,5.6678814854848285e-05
encrypt_time,5413.0,5.1856040954589844e-05
encrypt_time,5521.0,9.648865738293524e-05
encrypt_time,5445.0,4.262068666826415e-05
encrypt_time,5470.0,5.6467961649227304e-05
encrypt_time,5498.0,8.718528517135818e-05
encrypt_time,5484.0,5.5529729306840095e-05
encrypt_time,5448.0,7.256846399206207e-05
encrypt_time,5497.0,7.221207541953072e-05
encrypt_time,5441.0,0.00016249155635009686
encrypt_time,5588.0,6.327375790746818e-05
encrypt_time,5544.0,0.00013560093709641288
encrypt_time,5435.0,8.948509899645558e-05
encrypt_time,5562.0,4.3431804215624946e-05
encrypt_time,5595.0,0.00010652339605952523
encrypt_time,5442.0,6.832365685773009e-05
encrypt_time,5547.0,6.555119701613025e-05
encrypt_time,5496.0,9.102715815856068e-05
encrypt_time,5485.0,7.412582149109234e-05
encrypt_time,5560.0,4.2515193841984045e-05
encrypt_time,5572.0,3.5575052131744414e-05
encrypt_time,5550.0,0.00016758307773782004
encrypt_time,5510.0,5.244673414100493e-05
encrypt_time,5555.0,0.000148727701511721
encrypt_time,5529.0,9.926290298319288e-05
encrypt_time,5577.0,5.746345284160231e-05
encrypt_time,5606.0,0.00010782265699744432
encrypt_time,5556.0,8.076750613718432e-05
encrypt_time,5570.0,6.936591207215279e-05
encrypt_time,5610.0,9.344805317830054e-05
encrypt_time,5524.0,4.2184969485986365e-05
encrypt_time,5512.0,6.632254174909951e-05
encrypt_time,5503.0,0.00024423467628492294
encrypt_time,5534.0,8.205141675030201e-05
encrypt_time,5622.0,6.4200939823853e-05
encrypt_time,5602.0,5.333238814105336e-05
encrypt_time,5492.0,0.00010601053363597292
encrypt_time,5605.0,0.0001250638422882511
encrypt_time,5561.0,9.14186623490835e-05
encrypt_time,5443.0,1.7331177692457235e-05
