Metric,Data Size,Standard Deviation
encrypt_time,5568.0,0.00014723775412231726
encrypt_time,5508.0,0.00016356013753505261
encrypt_time,5479.0,9.665587110096345e-05
encrypt_time,5589.0,0.00012134781938731797
encrypt_time,5611.0,4.863432215382843e-05
encrypt_time,5557.0,8.856618365807111e-05
encrypt_time,5540.0,0.00015997363857514165
encrypt_time,5623.0,2.9343248172125493e-05
encrypt_time,5579.0,0.00018922437310368154
encrypt_time,5616.0,2.3602937603123063e-05
encrypt_time,5536.0,0.00012473555748142924
encrypt_time,5552.0,0.00017087905750014636
encrypt_time,5600.0,0.00023067041492935518
encrypt_time,5543.0,0.00016454595317352583
encrypt_time,5537.0,5.015934985929317e-05
encrypt_time,5575.0,9.366663793298388e-05
encrypt_time,5615.0,0.00014092473874825084
encrypt_time,5617.0,0.0001345180686468397
encrypt_time,5531.0,6.427184561708728e-05
encrypt_time,5553.0,0.00011524216003070592
encrypt_time,5574.0,4.932343383216877e-05
encrypt_time,5533.0,9.445590399655568e-05
encrypt_time,5619.0,7.972985675822823e-05
encrypt_time,5594.0,0.00021896353346108664
encrypt_time,5591.0,9.867827997280791e-05
encrypt_time,5583.0,0.0001811220065786194
encrypt_time,5643.0,0.00012235090019572075
encrypt_time,5526.0,0.00011496512789503791
encrypt_time,5581.0,0.0001270447926601591
encrypt_time,5528.0,9.819601514050564e-05
encrypt_time,5554.0,5.9071428118566433e-05
encrypt_time,5487.0,0.00011970803967199143
encrypt_time,5584.0,1.8935073865543897e-05
encrypt_time,5501.0,3.473398678253746e-05
encrypt_time,5477.0,0.00014097530506656784
encrypt_time,5507.0,4.875211389350465e-05
encrypt_time,5519.0,9.084963635030989e-05
encrypt_time,5559.0,0.0001341618705550616
encrypt_time,5505.0,3.3965870911525776e-05
encrypt_time,5488.0,0.00013887081981265727
encrypt_time,5546.0,0.00012212016680908166
encrypt_time,5545.0,6.0452863155434074e-05
encrypt_time,5500.0,3.403684433075195e-05
encrypt_time,5471.0,0.00019206551472695152
encrypt_time,5517.0,5.883585135925407e-05
encrypt_time,5532.0,2.5432120304109302e-05
encrypt_time,5482.0,4.0921037724063846e-05
encrypt_time,5590.0,5.590081240819205e-05
encrypt_time,5599.0,4.763600823876257e-05
encrypt_time,5548.0,7.840120211395228e-05
encrypt_time,5587.0,3.107796924325197e-05
encrypt_time,5549.0,0.00014167183622568454
encrypt_time,5564.0,6.108177384779993e-05
encrypt_time,5580.0,0.00012667003759078403
encrypt_time,5511.0,4.172678223638843e-05
encrypt_time,5558.0,0.00010223659655352164
encrypt_time,5612.0,0.00012242257427818784
encrypt_time,5571.0,0.00011222362940409858
encrypt_time,5626.0,0.0002079384774368888
encrypt_time,5635.0,8.29846543990432e-05
encrypt_time,5604.0,0.00012558468883600973
encrypt_time,5566.0,6.529624061358958e-05
encrypt_time,5535.0,6.793118222043949e-05
encrypt_time,5607.0,4.9346886635107535e-05
encrypt_time,5603.0,3.185689123384386e-05
encrypt_time,5475.0,3.8425600225836094e-05
encrypt_time,5514.0,9.801198043817748e-05
encrypt_time,5541.0,5.0739297746604346e-05
encrypt_time,5569.0,0.00014775636262713047
encrypt_time,5525.0,5.5027163615489585e-05
encrypt_time,5523.0,0.00017406804571534372
encrypt_time,5486.0,9.715591910364234e-05
encrypt_time,5530.0,4.741694661249295e-05
encrypt_time,5434.0,3.9036082542391417e-05
encrypt_time,5551.0,0.00013548238965099975
encrypt_time,5427.0,0.00016094759588112378
encrypt_time,5538.0,0.00010370048735836518
encrypt_time,5490.0,7.782562817662253e-05
encrypt_time,5582.0,0.00017965514892111182
encrypt_time,5513.0,0.00019899897745212
encrypt_time,5506.0,6.090825423920914e-05
encrypt_time,5522.0,6.486381527726323e-05
encrypt_time,5631.0,1.3846079012168698e-05
encrypt_time,5573.0,3.0425723858414477e-05
encrypt_time,5586.0,1.5592246226823872e-05
encrypt_time,5596.0,4.259168840307053e-05
encrypt_time,5462.0,1.3209494115457938e-05
encrypt_time,5601.0,0.00010487343597888296
encrypt_time,5597.0,1.758831560608216e-05
encrypt_time,5621.0,0.0001716916429022288
encrypt_time,5567.0,3.660116245789852e-05
encrypt_time,5563.0,0.0001800646925642926
encrypt_time,5598.0,0.00012927000819202522
encrypt_time,5565.0,0.00011947365058402732
encrypt_time,5613.0,3.3334398334298925e-05
encrypt_time,5520.0,2.4029646373466852e-05
encrypt_time,5483.0,5.6080063181226166e-05
encrypt_time,5457.0,2.518973245416493e-05
encrypt_time,5474.0,3.594998005794091e-05
encrypt_time,5472.0,4.715002895428903e-05
encrypt_time,5620.0,3.778967863046059e-05
encrypt_time,5585.0,3.4158393826586564e-05
encrypt_time,5439.0,0.0
encrypt_time,5458.0,2.7850900558217648e-05
encrypt_time,5509.0,0.00012480179312159768
encrypt_time,5401.0,1.2278556823730469e-05
encrypt_time,5495.0,0.0001445758328714263
encrypt_time,5451.0,0.0001997567362915382
encrypt_time,5461.0,0.0001029099273948298
encrypt_time,5468.0,0.00019938909405750886
encrypt_time,5608.0,4.436444462054795e-05
encrypt_time,5592.0,3.832988304408165e-05
encrypt_time,5628.0,4.795583327733502e-05
encrypt_time,5609.0,0.00012208266121273745
encrypt_time,5415.0,0.00010395050048828125
encrypt_time,5402.0,0.0
encrypt_time,5539.0,3.8124478817471007e-05
encrypt_time,5527.0,0.00017675190923188014
encrypt_time,5659.0,0.0
encrypt_time,5671.0,8.568255569173163e-05
encrypt_time,5419.0,0.0
encrypt_time,5660.0,5.960464477539062e-07
encrypt_time,5459.0,0.00017590425264916656
encrypt_time,5493.0,3.0306790352847056e-05
encrypt_time,5453.0,4.392325117423911e-05
encrypt_time,5450.0,0.00010763186869903501
encrypt_time,5421.0,9.298324584960938e-06
encrypt_time,5452.0,3.259562168117181e-05
encrypt_time,5634.0,1.159704828931361e-05
encrypt_time,5593.0,0.00012051960126883
encrypt_time,5467.0,0.00012295826097113736
encrypt_time,5667.0,0.0
encrypt_time,5666.0,4.792213439941406e-05
encrypt_time,5668.0,0.0
encrypt_time,5424.0,1.8396894191608834e-05
encrypt_time,5423.0,3.167526989121533e-05
encrypt_time,5436.0,9.862542664641757e-06
encrypt_time,5460.0,4.194483016593675e-05
encrypt_time,5437.0,1.874051929460607e-05
encrypt_time,5464.0,6.00106691777965e-05
encrypt_time,5446.0,3.055405253140877e-05
encrypt_time,5465.0,3.213236314301489e-05
encrypt_time,5480.0,7.295313997494577e-05
encrypt_time,5430.0,0.0
encrypt_time,5542.0,4.271710450105966e-05
encrypt_time,5518.0,2.423008617463233e-05
encrypt_time,5447.0,5.371330658186532e-06
encrypt_time,5432.0,0.0
encrypt_time,5456.0,1.5762623833100804e-05
encrypt_time,5651.0,6.408503365028602e-05
encrypt_time,5576.0,3.330843865684576e-05
encrypt_time,5674.0,0.0
encrypt_time,5627.0,5.681520242724393e-05
encrypt_time,5647.0,6.556510925292969e-06
encrypt_time,5670.0,0.0
encrypt_time,5625.0,0.00010791086365144222
encrypt_time,5578.0,3.152088384338332e-05
encrypt_time,5664.0,0.0
encrypt_time,5636.0,8.600872307159059e-05
encrypt_time,5491.0,3.9437459947128414e-05
encrypt_time,5624.0,3.6868301616893116e-05
encrypt_time,5494.0,3.273934589727033e-05
