Data Size,Standard Deviation
4426.0,0.0
64968.0,0.0
48146.0,0.0
4380.0,0.0
9163.0,0.0
66615.0,0.0
17493.0,0.0
3654.0,0.0
4374.0,0.0
20400.0,0.002973839581477778
5499.0,0.00046525635523010433
5466.0,0.0007690498548702427
5413.0,0.00020515918731689453
5521.0,0.0005978597645516895
5445.0,0.0008913294757332112
5470.0,0.0008738242402525164
5498.0,0.0010238521758159516
5484.0,0.0006554663727383164
5448.0,0.0010696818292999166
5497.0,0.0023907455736481378
5441.0,0.0009892454963088997
5588.0,0.0011011893127816272
5544.0,0.0007179383104298873
5435.0,0.000378809384458415
5562.0,0.0008905345930480911
5595.0,0.0011540366109569215
5442.0,0.0007442814456376821
5547.0,0.0008196681813600086
5496.0,0.0008195243561497973
5485.0,0.0009308154671029085
5560.0,0.0006678284084622465
5572.0,0.0007880326174915387
5550.0,0.0009046384541549343
5510.0,0.0007965482460995553
5555.0,0.0006365712984457563
5529.0,0.0008379352351937528
5577.0,0.0005968657224172223
5606.0,0.0005728346107795398
5556.0,0.0008659708202565583
5570.0,0.0007034590553312793
5610.0,0.0008785602328556831
5524.0,0.001061693823176696
5512.0,0.001177410563954918
5503.0,0.0009102119458830705
5534.0,0.0012581787757728019
5622.0,0.0010253666571300312
5602.0,0.0008085329514902205
5492.0,0.001088063842822133
5605.0,0.0008940109758183615
5561.0,0.0006208287587787004
5443.0,0.0007365113601645335
5516.0,0.002351645563341747
5568.0,0.001136012749685619
5508.0,0.0013325293456673186
5479.0,0.001310320681489001
5589.0,0.0010408301971192766
5611.0,0.0009636561100403891
5557.0,0.0010144918164527912
5540.0,0.0011358248011939785
5623.0,0.0007164321701731243
5579.0,0.0012203020586218287
5616.0,0.0006423520185182866
5536.0,0.0009632963469592378
5552.0,0.0010756232916186046
5600.0,0.0014786148664132789
5543.0,0.0013413568045706297
5537.0,0.0008763725971003997
5575.0,0.0007822355892565085
5615.0,0.0007954455631116141
5617.0,0.0011923665288952432
5531.0,0.0009036921453304415
5553.0,0.0009775225603186855
5574.0,0.0013685778870880037
