Metric,Data Size,Standard Deviation
encrypt_time,4426.0,0.0
encrypt_time,64968.0,0.0
encrypt_time,48146.0,0.0
encrypt_time,4380.0,0.0
encrypt_time,9163.0,0.0
encrypt_time,66615.0,0.0
encrypt_time,17493.0,0.0
encrypt_time,3654.0,0.0
encrypt_time,4374.0,0.0
encrypt_time,20400.0,1.920548434828849e-06
encrypt_time,5499.0,1.5828621656616143e-06
encrypt_time,5466.0,7.688768146799611e-06
encrypt_time,5413.0,9.5367431640625e-07
encrypt_time,5521.0,5.481528604666785e-06
encrypt_time,5445.0,2.378031118011431e-06
encrypt_time,5470.0,2.130605524982825e-06
encrypt_time,5498.0,5.281794949934858e-06
encrypt_time,5484.0,2.2140859158027458e-06
encrypt_time,5448.0,3.2970769829847888e-06
encrypt_time,5497.0,4.582023405646927e-05
encrypt_time,5441.0,2.629451624409646e-06
encrypt_time,5588.0,1.814328139116742e-06
encrypt_time,5544.0,5.255073364822449e-06
encrypt_time,5435.0,1.7841612752790171e-06
encrypt_time,5562.0,6.308212993414228e-06
encrypt_time,5595.0,8.387760791166703e-06
encrypt_time,5442.0,1.3609364660218326e-06
encrypt_time,5547.0,1.1307650277221995e-05
encrypt_time,5496.0,7.291195273248846e-06
encrypt_time,5485.0,2.8134402564062945e-06
encrypt_time,5560.0,2.231602994798893e-06
encrypt_time,5572.0,4.3115399744570925e-06
encrypt_time,5550.0,3.620430233180792e-06
encrypt_time,5510.0,3.0602211124881352e-06
encrypt_time,5555.0,3.25013876703239e-06
encrypt_time,5529.0,7.744352982073901e-06
encrypt_time,5577.0,2.0604593774609095e-06
encrypt_time,5606.0,2.274113244005421e-06
encrypt_time,5556.0,8.857649430858023e-07
encrypt_time,5570.0,2.612407779265441e-06
encrypt_time,5610.0,1.8403110962929624e-06
encrypt_time,5524.0,9.450589553101295e-06
encrypt_time,5512.0,4.157919462059343e-06
encrypt_time,5503.0,4.760556970105026e-06
encrypt_time,5534.0,1.275770863559004e-05
encrypt_time,5622.0,5.2517567406213466e-06
encrypt_time,5602.0,2.802537527177216e-06
encrypt_time,5492.0,5.6311218045175635e-06
encrypt_time,5605.0,3.649038997190354e-05
encrypt_time,5561.0,1.3113021850585938e-06
encrypt_time,5443.0,1.2759292755374578e-06
