Metric,Data Size,Standard Deviation
encrypt_time,4426.0,0.0
encrypt_time,64968.0,0.0
encrypt_time,48146.0,0.0
encrypt_time,4380.0,0.0
encrypt_time,9163.0,0.0
encrypt_time,66615.0,0.0
encrypt_time,17493.0,0.0
encrypt_time,3654.0,0.0
encrypt_time,4374.0,0.0
encrypt_time,20400.0,4.147173746705145e-05
encrypt_time,5499.0,3.0721528883281245e-05
encrypt_time,5466.0,1.3394179600619368e-05
encrypt_time,5413.0,9.5367431640625e-07
encrypt_time,5521.0,1.3386088733902208e-05
encrypt_time,5445.0,1.878747480147844e-05
encrypt_time,5470.0,0.00035654039745276766
encrypt_time,5498.0,0.0001088145657816967
encrypt_time,5484.0,7.971314028399937e-06
encrypt_time,5448.0,0.0005173622183580716
encrypt_time,5497.0,2.3038698880736003e-05
encrypt_time,5441.0,0.00011441087855644377
encrypt_time,5588.0,3.6721986881897264e-05
encrypt_time,5544.0,5.766258474177505e-05
encrypt_time,5435.0,0.0006731728866324156
encrypt_time,5562.0,3.3077725773420145e-05
encrypt_time,5595.0,1.5848578028497826e-05
encrypt_time,5442.0,2.6098365610048743e-05
encrypt_time,5547.0,4.282405571766665e-05
encrypt_time,5496.0,7.392484276437125e-05
encrypt_time,5485.0,0.00017673677190660605
encrypt_time,5560.0,0.00020234450948530217
encrypt_time,5572.0,0.00026352829359461527
encrypt_time,5550.0,7.87199335599004e-05
encrypt_time,5510.0,0.00034951910091022637
encrypt_time,5555.0,2.3823066763434508e-05
encrypt_time,5529.0,0.000507298554911861
encrypt_time,5577.0,2.3841526770941236e-05
encrypt_time,5606.0,5.39246647137786e-05
encrypt_time,5556.0,5.245723816812687e-05
encrypt_time,5570.0,9.993555594260862e-05
encrypt_time,5610.0,5.215379127888538e-05
encrypt_time,5524.0,3.2388481214763176e-05
encrypt_time,5512.0,0.00020605866986133734
encrypt_time,5503.0,3.3472643931990826e-05
encrypt_time,5534.0,8.187201896923992e-05
encrypt_time,5622.0,0.00010775406234846234
encrypt_time,5602.0,4.074761580878167e-05
encrypt_time,5492.0,2.048071104458688e-05
encrypt_time,5605.0,1.6317239356192283e-05
encrypt_time,5561.0,8.303405466555201e-05
encrypt_time,5443.0,1.7105365839623796e-05
