Data Size,Standard Deviation
4426.0,0.0
64968.0,0.0
48146.0,0.0
4380.0,0.0
9163.0,0.0
66615.0,0.0
17493.0,0.0
3654.0,0.0
4374.0,0.0
20400.0,3.643481769315711e-05
5499.0,0.0005295048564706058
5466.0,0.0006430331231020177
5413.0,0.00023293495178222656
5521.0,0.00043650532971433435
5445.0,0.0005848351060838608
5470.0,0.00029457982511881827
5498.0,0.000567934856621566
5484.0,0.0002965755013013583
5448.0,0.0005033845567250083
5497.0,0.0004290557454805223
5441.0,0.0004117562690927552
5588.0,0.0007614362674183732
5544.0,0.0005538500360436273
5435.0,0.00024596797437719366
5562.0,0.0003935743810598295
5595.0,0.0005615345550531767
5442.0,0.0008243294550184531
5547.0,0.00043771251937881924
5496.0,0.0007733448807182904
5485.0,0.0004891847989388633
5560.0,0.0005890563285210813
5572.0,0.0005052115147541354
5550.0,0.0005281257145287727
5510.0,0.00044025453285098003
5555.0,0.0002614174306872751
5529.0,0.0005398714475905269
5577.0,0.00047225414007762286
5606.0,0.0006871560918142451
5556.0,0.00045695930200501794
5570.0,0.0005111869755949737
5610.0,0.0004983274817113409
5524.0,0.0005813641392677055
5512.0,0.0003301431698156019
5503.0,0.0003251154598746808
5534.0,0.0004992288690669127
5622.0,0.0003182703899583465
5602.0,0.0006442648897642929
5492.0,0.0007465952069397647
5605.0,0.0006345427759108958
5561.0,0.00039153858066422035
5443.0,0.00040886414851158264
5516.0,0.000324766815374496
5568.0,0.0004800994962945022
5508.0,0.00040040453207986024
5479.0,0.00038447136231733206
5589.0,0.0006540774814328553
5611.0,0.00048583739375119965
5557.0,0.0005085681981436181
5540.0,0.00036542081892200994
5623.0,0.0008530928206514203
5579.0,0.00038349531435643674
5616.0,0.0005369938846990174
5536.0,0.0003939364721565363
5552.0,0.0007665264624264277
5600.0,0.0004168889140801048
5543.0,0.0006572792929009869
5537.0,0.00025991951111380043
5575.0,0.0005539639908833999
5615.0,0.0003527939164148951
5617.0,0.000282840167356082
5531.0,0.0002442467346618873
5553.0,0.00034683694720230834
5574.0,0.0005485051198280647
