Iteration,Data Size (bytes),Encapsulation Time (s),Encrypt Time (s),Decrypt Time (s),Decapsulation Time (s),Total Time (s)
75,5579,4.649162292480469e-05,0.00028634071350097656,0.0003120899200439453,3.0994415283203125e-05,0.0008931159973144531
76,5536,4.4345855712890625e-05,0.00026798248291015625,0.0003085136413574219,2.9802322387695312e-05,0.0008623600006103516
77,5552,4.363059997558594e-05,0.00029730796813964844,0.0004584789276123047,7.319450378417969e-05,0.0013172626495361328
78,5552,8.273124694824219e-05,0.0004551410675048828,0.00036334991455078125,3.933906555175781e-05,0.001360177993774414
79,5600,0.00010824203491210938,0.00040531158447265625,0.0003719329833984375,5.221366882324219e-05,0.0014002323150634766
80,5543,8.130073547363281e-05,0.0003368854522705078,0.0003330707550048828,3.838539123535156e-05,0.0011019706726074219
81,5610,5.53131103515625e-05,0.0002875328063964844,0.0003147125244140625,3.147125244140625e-05,0.0009267330169677734
82,5600,4.553794860839844e-05,0.0002758502960205078,0.00029921531677246094,3.075599670410156e-05,0.0010650157928466797
83,5537,4.410743713378906e-05,0.0002834796905517578,0.0003094673156738281,2.9802322387695312e-05,0.0011589527130126953
84,5595,4.2438507080078125e-05,0.0002815723419189453,0.0003101825714111328,3.0040740966796875e-05,0.0011591911315917969
85,5610,4.100799560546875e-05,0.0002841949462890625,0.0003082752227783203,3.0517578125e-05,0.001157999038696289
86,5575,4.57763671875e-05,0.00034546852111816406,0.0004277229309082031,4.363059997558594e-05,0.0014765262603759766
87,5572,6.008148193359375e-05,0.00032067298889160156,0.0003325939178466797,3.695487976074219e-05,0.0011086463928222656
88,5615,5.8650970458984375e-05,0.00031685829162597656,0.0003895759582519531,3.814697265625e-05,0.0012416839599609375
89,5617,6.651878356933594e-05,0.0003330707550048828,0.00034236907958984375,3.886222839355469e-05,0.001150369644165039
90,5555,6.389617919921875e-05,0.0005364418029785156,0.0004582405090332031,7.772445678710938e-05,0.0020575523376464844
91,5531,8.153915405273438e-05,0.0003383159637451172,0.00034689903259277344,4.267692565917969e-05,0.0011792182922363281
92,5553,6.556510925292969e-05,0.0004992485046386719,0.00040411949157714844,5.602836608886719e-05,0.0024099349975585938
93,5574,8.869171142578125e-05,0.0004088878631591797,0.0003647804260253906,4.553794860839844e-05,0.0014157295227050781
94,5615,6.556510925292969e-05,0.0003197193145751953,0.0003368854522705078,3.504753112792969e-05,0.001295328140258789
95,5553,5.316734313964844e-05,0.0002853870391845703,0.00031685829162597656,3.170967102050781e-05,0.0014443397521972656
