Metric,Data Size,Standard Deviation
encapsulation_time,5607.0,3.412935103291789e-05
encapsulation_time,5603.0,7.323093980754857e-06
encapsulation_time,5475.0,2.1896755973328254e-05
encapsulation_time,5514.0,2.687334532246179e-05
encapsulation_time,5541.0,9.325793845943425e-06
encapsulation_time,5569.0,2.587842412215674e-05
encapsulation_time,5525.0,1.1977799266304402e-05
encapsulation_time,5523.0,2.0017664224621277e-05
encapsulation_time,5486.0,1.7751155860288333e-05
encapsulation_time,5530.0,1.6480369906907806e-05
encapsulation_time,5434.0,1.108373972534733e-05
encapsulation_time,5551.0,1.5931296292678093e-05
encapsulation_time,5427.0,3.425208800530169e-05
encapsulation_time,5538.0,1.4305061764089168e-05
encapsulation_time,5490.0,2.664520410573904e-05
encapsulation_time,5582.0,1.9875207306341278e-05
encapsulation_time,5513.0,2.2141821894770853e-05
encapsulation_time,5506.0,9.16014661310354e-06
encapsulation_time,5522.0,1.2091107411042893e-05
encapsulation_time,5631.0,5.555147208309584e-06
encapsulation_time,5573.0,1.5319381751250254e-05
encapsulation_time,5586.0,1.4593341250949908e-05
encapsulation_time,5596.0,2.2296386626508974e-05
encapsulation_time,5462.0,1.1317696939708237e-05
encapsulation_time,5601.0,1.8784600259796636e-05
encapsulation_time,5597.0,1.0259860192616423e-05
encapsulation_time,5621.0,4.288559918656036e-05
encapsulation_time,5567.0,2.358608973553518e-05
encapsulation_time,5563.0,1.8396128100173174e-05
encapsulation_time,5598.0,1.9343865366765873e-05
encapsulation_time,5565.0,2.4084289140915687e-05
encapsulation_time,5613.0,2.5774423674213447e-05
encapsulation_time,5520.0,8.70507808613066e-06
encapsulation_time,5483.0,3.1979365442602855e-05
encapsulation_time,5457.0,1.6279642382332337e-05
encapsulation_time,5474.0,1.3151891493495692e-05
encapsulation_time,5472.0,5.146524365976634e-06
encapsulation_time,5620.0,1.7639489626570315e-05
encapsulation_time,5585.0,1.5720880708782685e-05
encapsulation_time,5439.0,0.0
encapsulation_time,5458.0,1.773153308810488e-05
encapsulation_time,5509.0,2.144288486506128e-05
encapsulation_time,5401.0,2.5033950805664062e-06
encapsulation_time,5495.0,1.8919882567626972e-05
encapsulation_time,5451.0,3.540112268693032e-06
encapsulation_time,5461.0,5.72935383863306e-06
encapsulation_time,5468.0,1.4110237826186765e-05
encapsulation_time,5608.0,2.0788145082753186e-05
encapsulation_time,5592.0,1.985534994282764e-05
encapsulation_time,5628.0,2.394748179251672e-05
encapsulation_time,5609.0,1.1997548873669675e-05
encapsulation_time,5415.0,1.1444091796875e-05
encapsulation_time,5402.0,0.0
encapsulation_time,5539.0,2.1802739099889322e-05
encapsulation_time,5527.0,1.0221284823622382e-05
encapsulation_time,5659.0,0.0
encapsulation_time,5671.0,8.85762724709285e-06
encapsulation_time,5419.0,0.0
encapsulation_time,5660.0,2.384185791015625e-06
encapsulation_time,5459.0,1.7197245577294738e-05
encapsulation_time,5493.0,3.431260022011713e-05
encapsulation_time,5453.0,1.2738426010179477e-05
encapsulation_time,5450.0,1.0544244259910229e-05
encapsulation_time,5421.0,3.2186508178710938e-06
encapsulation_time,5452.0,7.828656568849309e-06
encapsulation_time,5634.0,1.4827173716251169e-05
encapsulation_time,5593.0,1.0329882181588946e-05
encapsulation_time,5467.0,1.0530678718012788e-05
encapsulation_time,5667.0,0.0
