Metric,Data Size,Standard Deviation
encrypt_time,4426.0,0.0
encrypt_time,64968.0,0.0
encrypt_time,48146.0,0.0
encrypt_time,4380.0,0.0
encrypt_time,9163.0,0.0
encrypt_time,66615.0,0.0
encrypt_time,17493.0,0.0
encrypt_time,3654.0,0.0
encrypt_time,4374.0,0.0
encrypt_time,20400.0,4.195730470820913e-05
encrypt_time,5499.0,0.00019190880140516518
encrypt_time,5466.0,3.2317372362849304e-05
encrypt_time,5413.0,1.7404556274414062e-05
encrypt_time,5521.0,2.465775095900613e-05
encrypt_time,5445.0,3.2482931880768e-05
encrypt_time,5470.0,1.9875423295989588e-05
encrypt_time,5498.0,2.936553550204791e-05
encrypt_time,5484.0,4.7259253529830135e-05
encrypt_time,5448.0,2.4124005059279938e-05
encrypt_time,5497.0,1.9866783421578514e-05
encrypt_time,5441.0,0.00011047489296067765
encrypt_time,5588.0,3.6624503913400204e-05
encrypt_time,5544.0,4.157117649469766e-05
encrypt_time,5435.0,1.658490240948137e-05
encrypt_time,5562.0,4.325650791247779e-05
encrypt_time,5595.0,5.17607174508125e-05
encrypt_time,5442.0,1.5810555695230163e-05
encrypt_time,5547.0,4.635262632383373e-05
encrypt_time,5496.0,6.034005906323357e-05
encrypt_time,5485.0,9.129781798089944e-05
encrypt_time,5560.0,2.433725892029636e-05
encrypt_time,5572.0,1.938783536406511e-05
encrypt_time,5550.0,8.256603122084828e-05
encrypt_time,5510.0,5.887024479654584e-05
encrypt_time,5555.0,2.235910506293926e-05
encrypt_time,5529.0,2.0697666999694516e-05
encrypt_time,5577.0,7.52709413619684e-05
encrypt_time,5606.0,2.1004182788578162e-05
encrypt_time,5556.0,3.745414220821993e-05
encrypt_time,5570.0,3.977681676239502e-05
encrypt_time,5610.0,4.392097787928276e-05
encrypt_time,5524.0,6.529154391305515e-05
encrypt_time,5512.0,2.8267847971472335e-05
encrypt_time,5503.0,7.388948731663725e-05
encrypt_time,5534.0,6.202518179789891e-05
encrypt_time,5622.0,6.326326742848014e-05
encrypt_time,5602.0,2.543274999032056e-05
encrypt_time,5492.0,6.611354076768479e-05
encrypt_time,5605.0,2.085932310203729e-05
encrypt_time,5561.0,5.137037435901768e-05
encrypt_time,5443.0,8.042307860097236e-06
