Metric,Data Size,Standard Deviation
encrypt_time,4426.0,0.0
encrypt_time,64968.0,0.0
encrypt_time,48146.0,0.0
encrypt_time,4380.0,0.0
encrypt_time,9163.0,0.0
encrypt_time,66615.0,0.0
encrypt_time,17493.0,0.0
encrypt_time,3654.0,0.0
encrypt_time,4374.0,0.0
encrypt_time,20400.0,1.8688123647942946e-05
encrypt_time,5499.0,4.5137733410862394e-05
encrypt_time,5466.0,4.29966337985229e-05
encrypt_time,5413.0,1.3947486877441406e-05
encrypt_time,5521.0,3.0063909979429862e-05
encrypt_time,5445.0,1.248738646040443e-05
encrypt_time,5470.0,2.6591421716768386e-05
encrypt_time,5498.0,6.60315379427916e-05
encrypt_time,5484.0,1.3309993444207246e-05
encrypt_time,5448.0,1.8105572858857278e-05
encrypt_time,5497.0,4.0770760893261156e-05
encrypt_time,5441.0,2.2520867324101084e-05
encrypt_time,5588.0,2.8772852242903403e-05
encrypt_time,5544.0,3.901404842102956e-05
encrypt_time,5435.0,3.7982872489559885e-05
encrypt_time,5562.0,3.426805755417138e-05
encrypt_time,5595.0,5.269397965800446e-05
encrypt_time,5442.0,3.7803548623097015e-05
encrypt_time,5547.0,0.00010395507820344379
encrypt_time,5496.0,3.9523005332901846e-05
encrypt_time,5485.0,8.459751297327787e-05
encrypt_time,5560.0,7.17701267712843e-05
encrypt_time,5572.0,3.292738106112852e-05
encrypt_time,5550.0,3.031373806870484e-05
encrypt_time,5510.0,5.845279396104444e-05
encrypt_time,5555.0,2.5817367326253297e-05
encrypt_time,5529.0,0.00020281665491135378
encrypt_time,5577.0,6.282208602077837e-05
encrypt_time,5606.0,7.47680195491895e-05
encrypt_time,5556.0,3.754234486895447e-05
encrypt_time,5570.0,3.645326339689856e-05
encrypt_time,5610.0,0.00015239973023624176
encrypt_time,5524.0,4.359477543440398e-05
encrypt_time,5512.0,6.803250469657975e-05
encrypt_time,5503.0,2.8931335691535934e-05
encrypt_time,5534.0,2.501373382933236e-05
encrypt_time,5622.0,6.922441546992435e-05
encrypt_time,5602.0,6.991098575345763e-05
encrypt_time,5492.0,3.1519702622159294e-05
encrypt_time,5605.0,1.215441454135761e-05
encrypt_time,5561.0,5.8331803542631225e-05
encrypt_time,5443.0,2.768876403537196e-05
